,coef,std err,t,P>|t|,[0.025,0.975]
adrg_RV1,-23.5502,0.487,-48.382,0,-24.504,-22.596
adrg_FB1,-21.3999,4.301,-4.976,0,-29.829,-12.971
adrg_FP1,-20.4368,0.796,-25.668,0,-21.997,-18.876
adrg_FM2,-20.2474,0.8,-25.303,0,-21.816,-18.679
adrg_BC1,-20.1408,2.359,-8.537,0,-24.765,-15.517
adrg_FN1,-19.9775,0.401,-49.773,0,-20.764,-19.191
adrg_CW1,-19.8615,1.439,-13.801,0,-22.682,-17.041
adrg_BL1,-19.7406,5.267,-3.748,0,-30.063,-9.418
adrg_FE2,-19.4805,7.447,-2.616,0.009,-34.076,-4.885
adrg_FC3,-19.3882,1.122,-17.287,0,-21.586,-17.19
adrg_FD3,-19.2845,1.995,-9.667,0,-23.194,-15.375
adrg_FN2,-19.2684,1.11,-17.365,0,-21.443,-17.094
adrg_BE1,-19.2475,0.554,-34.772,0,-20.332,-18.163
adrg_FE3,-19.2022,2.487,-7.721,0,-24.076,-14.328
adrg_BM1,-19.1338,0.783,-24.448,0,-20.668,-17.6
adrg_FC2,-19.093,2.363,-8.079,0,-23.725,-14.461
adrg_FM3,-19.0149,5.266,-3.611,0,-29.336,-8.693
adrg_CV1,-18.9516,1.022,-18.546,0,-20.954,-16.949
adrg_IR2,-18.9393,0.633,-29.901,0,-20.181,-17.698
adrg_IC1,-18.9221,0.265,-71.436,0,-19.441,-18.403
adrg_FL2,-18.9001,1.929,-9.8,0,-22.68,-15.12
adrg_JV5,-18.8077,5.266,-3.572,0,-29.129,-8.487
adrg_TS2,-18.7942,2.358,-7.97,0,-23.416,-14.172
adrg_FB3,-18.7925,0.833,-22.563,0,-20.425,-17.16
adrg_IC2,-18.7451,1.087,-17.242,0,-20.876,-16.614
adrg_FB4,-18.7031,4.302,-4.348,0,-27.134,-10.272
adrg_KC2,-18.6836,1.594,-11.722,0,-21.808,-15.56
adrg_CT1,-18.5302,3.042,-6.091,0,-24.492,-12.568
adrg_IB1,-18.4977,0.519,-35.642,0,-19.515,-17.481
adrg_TS1,-18.4851,5.265,-3.511,0,-28.805,-8.165
adrg_TR1,-18.4804,5.266,-3.509,0,-28.802,-8.159
adrg_RA1,-18.4793,0.808,-22.871,0,-20.063,-16.896
adrg_FL1,-18.3866,1.876,-9.803,0,-22.063,-14.71
adrg_RC1,-18.382,2.002,-9.181,0,-22.306,-14.458
