adrg,mean,count,max,min
AE1,26.64307692,13,37.78,18.67
FT1,25.45112676,71,69.18,0.06
TT3,24.7530303,132,72.87,0.14
TU1,23.74726316,95,61.68,0.27
GU2,19.48157523,5669,77.31,0.07
JV3,19.23581791,3943,72.75,0.06
DU1,19.12982477,856,49.87,0.07
EZ1,18.96445362,5573,70.75,0.06
VT1,18.67143617,564,70.86,0.12
ET1,18.60240278,37365,72.1,0.02
LU1,18.52300358,7824,69.86,0.05
MS1,18.19751231,2641,75.9,0.23
DT2,18.10291492,4302,67.58,0.07
NS1,18.06535251,2468,62.43,0.07
DX1,17.76989286,2240,57.11,0.1
SS1,17.65884615,78,52.09,0.29
SV1,17.41677852,894,65.31,0.12
EW2,17.20847863,3510,74.29,0.01
OS1,17.16055696,395,58.92,0.14
CU1,17.08479381,388,74.59,0.12
LX1,16.8835503,338,52.41,0.25
SR1,16.84032228,8533,70.64,0.04
EJ1,16.77594508,11544,73.9,0.04
EW1,16.66341991,924,64.5,0.12
SZ1,16.5020766,3342,68.95,0.08
EK2,16.45344974,945,52.46,0.03
TR1,15.88075089,839,37.31,0.1
ES1,15.8366935,92778,93.4,0.01
SU1,15.6968,200,44.12,0.06
QR1,15.49775367,1567,52.66,0.03
YR1,15.31099723,361,53.36,0.06
DT1,15.07748706,30717,77.92,0.04
WR2,15.02666025,1039,38.37,0.14
ER3,15.00545507,3450,70.36,0.02
EV2,14.96786885,671,51.13,0.03
XS2,14.9075,92,65.01,0.16
EC1,14.7560701,5107,64.79,0.05
YR2,14.67272727,11,33.89,3.36
WZ1,14.32088979,2214,52.63,0.08
IZ2,14.3104375,160,66.68,0.05
DC2,14.29803824,1203,57.09,0.06
EX1,14.22049359,7719,60.03,0.03
HU1,14.17130655,6521,67.2,0.03
XT2,14.11997478,793,76.28,0.07
FZ1,14.06768469,3533,58.03,0.02
TT2,14.06169839,683,60.56,0.08
RR1,13.92633221,1186,77.33,0.01
MZ1,13.82945552,2810,68.94,0.06
EV1,13.77221245,1591,59.99,0.05
LV1,13.71357483,2098,66.3,0.09
BT2,13.33477647,1275,77.66,0.04
KB1,13.24125,40,31.77,3.08
EX2,13.14050472,31542,59.61,0.04
ER2,13.13203922,255,50.79,0.06
DZ1,13.05985909,2058,62.04,0.04
DV1,13.01401119,2680,59.01,0.01
US2,12.74857143,7,25.35,1.96
RB1,12.73666667,12,31.26,1.34
XT1,12.68911197,259,59.13,0.02
FU1,12.51543029,1499,52.13,0.01
FW3,12.37929648,796,54.99,0.1
JE1,12.18807407,135,34.57,0.17
HZ2,12.1757114,2973,70.21,0.07
GW1,12.16924929,7353,61.65,0.03
IT3,12.13449814,269,48.03,0.14
HT2,12.10061962,6278,47.9,0.05
CZ1,11.96940408,1913,62.43,0.02
BS1,11.89277211,588,61.08,0.02
RR2,11.87053571,112,52.77,0.03
